	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0.0	0.5691489361702128	0.6326530612244898	0.5801801801801801	0.6142595978062158	0.5402504472271914	0.6076794657762938	0.600328947368421	0.5919732441471572	0.5866900175131349	0.599320882852292	0.5607779578606159	0.5880281690140845	0.6030405405405406	0.6119631901840491	0.6079365079365079	0.5799648506151143	0.5658783783783784
KO2	0.5691489361702128	0.0	0.6485148514851485	0.613126079447323	0.6269982238010657	0.5915254237288136	0.637239165329053	0.580327868852459	0.5881383855024712	0.6044142614601019	0.609271523178808	0.6107692307692307	0.5766550522648084	0.6082644628099173	0.5911179173047473	0.6018808777429467	0.5859106529209622	0.5766062602965404
KO3	0.6326530612244898	0.6485148514851485	0.0	0.6324786324786325	0.6298932384341637	0.6153846153846154	0.6822429906542056	0.6702619414483821	0.6635367762128326	0.6507413509060955	0.6586538461538461	0.6607142857142857	0.6433333333333333	0.646774193548387	0.657393850658858	0.6406727828746177	0.6310517529215359	0.6267942583732058
KO4	0.5801801801801801	0.613126079447323	0.6324786324786325	0.0	0.6037037037037037	0.5878260869565217	0.656957928802589	0.6	0.5963149078726968	0.5986038394415357	0.6201680672268908	0.6273291925465838	0.5950704225352113	0.6027164685908319	0.6223241590214067	0.6098726114649682	0.5769911504424778	0.5750421585160203
KO5	0.6142595978062158	0.6269982238010657	0.6298932384341637	0.6037037037037037	0.0	0.5935251798561151	0.6949429037520392	0.6693811074918566	0.6600331674958541	0.6414762741652021	0.6073943661971831	0.6780185758513931	0.6261180679785331	0.6351118760757315	0.666156202143951	0.6403225806451613	0.5875912408759124	0.6020583190394511
KO6	0.5402504472271914	0.5915254237288136	0.6153846153846154	0.5878260869565217	0.5935251798561151	0.0	0.625	0.6111111111111112	0.6188197767145136	0.5867346938775511	0.6059113300492611	0.6076335877862595	0.590443686006826	0.6072013093289689	0.6051051051051051	0.6052631578947368	0.5555555555555556	0.5781758957654723
OE1	0.6076794657762938	0.637239165329053	0.6822429906542056	0.656957928802589	0.6949429037520392	0.625	0.0	0.6133540372670807	0.5968253968253968	0.6036184210526315	0.6216216216216216	0.6077844311377245	0.6163934426229508	0.6293375394321766	0.6134699853587116	0.6344725111441307	0.6223662884927067	0.609984399375975
OE2	0.600328947368421	0.580327868852459	0.6702619414483821	0.6	0.6693811074918566	0.6111111111111112	0.6133540372670807	0.0	0.6031007751937985	0.5733113673805601	0.5878594249201278	0.597037037037037	0.5838815789473685	0.6199376947040498	0.6109510086455331	0.5903614457831325	0.6038647342995169	0.5900621118012422
OE3	0.5919732441471572	0.5881383855024712	0.6635367762128326	0.5963149078726968	0.6600331674958541	0.6188197767145136	0.5968253968253968	0.6031007751937985	0.0	0.5904605263157895	0.5977564102564102	0.5830815709969789	0.5776293823038398	0.580906148867314	0.566066066066066	0.6039156626506024	0.6116504854368932	0.5684713375796179
OE4	0.5866900175131349	0.6044142614601019	0.6507413509060955	0.5986038394415357	0.6414762741652021	0.5867346938775511	0.6036184210526315	0.5733113673805601	0.5904605263157895	0.0	0.5882352941176471	0.5757097791798107	0.5815972222222222	0.5777027027027027	0.5932721712538226	0.5818759936406995	0.5859106529209622	0.5575959933222037
