Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia;Unassigned	682	1077	390	742	491	587	772	955	676	575	712	606	1225	1283	863	1016	849	878
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	2851	2093	2733	2771	3716	3044	1577	1483	2076	2128	2118	1728	1968	2222	2183	2320	2207	2214
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhizobacter;Unassigned	1084	432	653	782	1131	689	674	566	750	928	821	620	978	1364	768	842	1021	841
Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;Unassigned	519	441	525	374	148	330	404	582	1363	832	478	521	654	560	488	1052	698	542
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unassigned	271	310	1161	390	750	339	232	1092	1097	712	306	312	631	651	453	237	486	738
Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Unassigned;Unassigned	363	782	478	411	179	441	456	535	651	419	478	396	490	378	505	431	518	492
Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;Unassigned	284	252	220	239	541	258	491	366	207	361	281	160	343	347	378	309	221	370
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Pararhizobium;Unassigned	170	169	290	316	379	272	94	88	126	133	208	127	125	210	98	108	205	131
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Bradyrhizobium;Unassigned	308	383	315	277	257	339	336	305	233	254	412	325	222	249	314	284	226	305
Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;Unassigned	333	791	371	293	286	349	338	351	240	354	456	371	520	362	510	454	370	354
Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;Acidibacter;Unassigned	240	197	185	144	143	182	342	231	171	237	272	337	166	208	363	266	234	334
Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Unassigned	142	413	239	139	131	167	81	88	57	153	124	77	181	183	130	229	585	82
Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;Unassigned	67	173	68	53	36	59	86	100	68	73	90	82	89	120	88	131	155	90
Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Unassigned;Unassigned	116	84	58	81	37	91	445	139	196	231	111	456	41	16	52	33	35	75
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudorhodoplanes;Unassigned	125	98	186	186	111	117	167	83	74	84	116	116	65	56	123	123	82	110
