Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Actinocorallia	803	1357	556	1082	706	816	772	1165	933	612	834	725	1734	2014	1245	1472	1274	1164
Rhizobacter	1279	555	922	1105	1619	927	674	702	997	989	947	748	1474	2207	1101	1221	1555	1173
Streptomyces	615	559	774	529	217	458	404	720	1821	883	570	622	965	899	725	1500	1094	746
Flavobacterium	315	403	1745	557	1051	476	232	1361	1448	763	364	373	908	997	645	338	745	1036
Noviherbaspirillum	341	314	304	335	738	363	491	436	279	381	336	193	509	526	523	461	334	495
Pararhizobium	209	215	404	455	562	363	94	106	175	143	236	151	200	355	145	157	304	183
Bradyrhizobium	356	483	457	379	382	472	336	368	322	273	481	404	330	388	439	397	337	447
Lentzea	399	978	547	427	406	467	338	429	336	364	533	458	776	571	699	631	563	500
Acidibacter	281	246	274	203	217	236	342	284	248	255	323	394	265	329	500	391	357	462
Amycolatopsis	165	534	332	194	180	231	81	109	77	162	150	95	255	290	178	330	865	127
Kribbella	82	215	110	79	55	80	86	120	93	79	109	97	138	187	124	194	231	133
Pseudorhodoplanes	148	129	283	270	164	170	167	103	100	89	132	148	98	101	169	169	122	154
Pseudoduganella	251	83	139	346	260	475	73	60	378	208	148	189	384	766	125	230	253	141
Actinophytocola	149	199	687	307	43	146	242	252	258	152	201	187	261	110	265	280	150	558
Kineosporia	64	117	59	115	13	41	75	75	99	88	110	63	164	207	146	141	160	83
Sphingomonas	183	180	316	356	237	253	109	78	135	96	113	154	89	180	102	168	127	133
Herpetosiphon	91	117	47	117	124	57	64	243	25	105	201	166	701	53	97	94	350	239
Phenylobacterium	150	113	137	96	167	133	68	68	70	73	92	111	120	126	97	119	122	95
Steroidobacter	274	256	222	289	136	279	326	254	295	264	344	395	306	360	393	330	281	383
Agromyces	112	223	149	146	85	94	96	195	131	115	104	130	137	150	183	152	113	180
Ensifer	163	105	240	188	270	189	123	152	167	164	194	230	70	176	102	190	215	162
Pseudomonas	68	44	50	64	240	65	123	416	75	368	182	366	25	32	111	44	241	106
Nocardioides	211	340	392	343	223	355	154	328	273	159	316	222	230	206	332	342	230	293
Devosia	243	226	323	288	571	350	99	247	92	136	169	137	101	141	150	192	202	184
Incertae_Sedis	1590	1946	1364	1591	1223	1952	2650	2405	2327	1819	2112	2836	2662	2542	2868	2213	2535	2116
Dongia	91	105	46	38	28	42	112	111	85	62	71	123	83	66	107	100	59	102
Massilia	83	104	74	124	94	230	42	39	88	32	75	69	56	48	59	43	179	51
Sphingopyxis	61	41	167	86	203	95	43	76	23	84	98	62	66	55	49	108	157	82
Vallicoccus	47	70	91	55	26	50	26	53	69	42	46	32	96	76	54	51	124	116
Pseudoxanthomonas	55	32	30	58	47	248	24	24	50	44	31	63	31	31	57	44	41	32
Kibdelosporangium	31	46	0	619	289	22	24	48	24	70	22	52	152	23	58	65	52	109
Permianibacter	39	14	37	32	61	35	29	21	43	44	32	33	72	56	35	42	50	45
Sandaracinus	40	29	53	58	56	29	14	30	33	27	27	23	44	38	35	46	42	56
Polaromonas	38	44	55	43	75	43	0	16	27	26	34	55	33	45	32	37	51	0
Phyllobacterium	44	52	19	51	60	98	13	20	38	21	33	26	52	47	36	42	37	22
Croceibacterium	32	27	64	49	48	60	29	17	21	23	40	27	11	39	34	32	36	34
Bosea	42	23	160	183	139	78	38	87	18	19	67	41	72	30	55	65	124	69
Aeromicrobium	75	108	178	90	82	81	28	56	56	32	37	55	42	25	56	60	31	57
Niastella	20	13	12	15	8	11	53	26	102	78	53	45	63	84	58	80	26	42
Aquabacterium	49	54	35	48	53	71	0	0	42	15	16	0	32	62	39	0	49	0
Micromonospora	24	18	28	0	20	36	12	43	81	44	27	0	31	33	38	31	0	0
SWB02	31	23	34	33	12	28	33	28	29	27	38	20	23	39	30	28	10	29
Paenibacillus	0	23	38	510	21	63	211	181	0	161	8	40	17	0	7	0	0	4
Pseudonocardia	35	41	64	52	17	7	27	48	22	0	38	17	29	45	28	64	14	55
Mycobacterium	61	64	55	42	10	16	42	48	55	42	22	46	36	0	85	22	32	33
Crocinitomix	12	8	10	5	0	3	18	17	37	13	12	20	24	47	33	40	30	28
Promicromonospora	37	85	32	63	29	100	36	42	35	32	82	49	29	41	50	47	18	53
MND1	125	69	180	18	0	28	112	71	89	46	76	153	63	100	160	62	76	126
Reyranella	25	33	27	33	0	35	22	18	30	0	20	31	20	0	29	33	19	17
Solirubrobacter	50	43	0	0	0	72	68	48	55	46	56	78	19	26	22	14	50	19
Inhella	0	0	55	15	106	19	0	0	0	0	0	0	59	74	0	0	16	49
Caulobacter	35	20	15	33	10	48	6	48	27	25	60	39	19	27	14	32	46	38
Gaiella	16	114	33	34	58	54	69	58	51	39	61	98	114	91	57	73	36	70
Pedomicrobium	54	74	62	55	20	17	85	51	60	21	52	60	47	39	63	27	0	58
Ohtaekwangia	87	38	21	11	64	11	36	33	78	218	65	9	76	94	121	131	30	54
Oscillochloris	23	29	6	22	10	14	12	6	16	14	12	10	27	19	27	27	15	22
Lysobacter	44	30	44	67	37	40	20	23	58	30	43	10	19	23	14	39	12	17
Turneriella	17	0	19	16	31	15	18	20	15	19	14	14	23	37	37	28	15	36
