#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
c40cc30ae45181d02b1f55e600a22236	709.0	1243.0	536.0	891.0	642.0	742.0	711.0	1047.0	870.0	521.0	737.0	651.0	1548.0	1774.0	1144.0	1306.0	968.0	1052.0
16908489817e1cfdd163f13938103c93	1158.0	735.0	1433.0	1330.0	1644.0	1108.0	355.0	289.0	758.0	662.0	563.0	409.0	784.0	934.0	566.0	732.0	916.0	746.0
583f789c1c9501c9386e498f18e5af76	362.0	284.0	579.0	591.0	774.0	581.0	361.0	297.0	692.0	623.0	498.0	461.0	702.0	1200.0	708.0	823.0	793.0	524.0
2613542be210e163f03bf8393405f6aa	917.0	271.0	343.0	514.0	845.0	346.0	313.0	405.0	305.0	366.0	449.0	287.0	772.0	1007.0	392.0	398.0	762.0	649.0
918e42d19fae443929267607a0906a2e	343.0	334.0	388.0	283.0	123.0	223.0	201.0	374.0	1062.0	507.0	343.0	328.0	457.0	576.0	383.0	712.0	315.0	329.0
2de532901d69f6c44c9411e154934189	148.0	95.0	815.0	244.0	840.0	210.0	73.0	820.0	568.0	269.0	108.0	160.0	565.0	657.0	398.0	137.0	372.0	592.0
b2e2e66f74585fbaa04a53f2e374edda	481.0	371.0	481.0	489.0	795.0	611.0	109.0	146.0	194.0	174.0	182.0	200.0	315.0	318.0	281.0	316.0	285.0	292.0
e2df26c03c0638a1af8a188baac28c9c	125.0	129.0	266.0	255.0	346.0	277.0	116.0	397.0	352.0	189.0	330.0	131.0	255.0	203.0	310.0	186.0	421.0	379.0
7772ab45417ce7f94580ca640332faea	199.0	418.0	200.0	260.0	128.0	317.0	142.0	232.0	350.0	197.0	279.0	241.0	332.0	182.0	243.0	220.0	392.0	281.0
e18463edc0ad6dc5e4c56abe5da548e1	202.0	233.0	202.0	234.0	341.0	249.0	281.0	263.0	150.0	234.0	234.0	141.0	291.0	347.0	350.0	281.0	216.0	262.0
f409e1c0ea1ba1769ba10adf78402913	209.0	215.0	404.0	455.0	562.0	363.0	94.0	106.0	175.0	143.0	236.0	151.0	200.0	355.0	145.0	157.0	304.0	183.0
b735fdbe550786eda1c3f9208a992768	24.0	81.0	410.0	191.0	116.0	145.0	95.0	484.0	445.0	262.0	166.0	72.0	183.0	211.0	164.0	133.0	305.0	370.0
a79fe461438cb34c1377c73c03cd1bb1	140.0	155.0	350.0	176.0	87.0	128.0	95.0	155.0	410.0	170.0	125.0	122.0	293.0	189.0	172.0	224.0	560.0	248.0
6479b61d7a9d6fc01f7c87fd2d411149	160.0	196.0	213.0	213.0	239.0	206.0	139.0	119.0	184.0	169.0	193.0	163.0	215.0	364.0	255.0	282.0	194.0	206.0
2457d3a95c5d465e4a5c8247fa7b6976	172.0	220.0	240.0	199.0	182.0	252.0	185.0	204.0	194.0	139.0	200.0	252.0	188.0	145.0	193.0	197.0	176.0	204.0
20edc09c5e329be20dfdec8e1c818c8a	228.0	178.0	186.0	227.0	222.0	354.0	51.0	67.0	116.0	118.0	134.0	119.0	202.0	178.0	170.0	176.0	150.0	145.0
f0051f2cca46b1be44ec19fb2d078ed5	139.0	182.0	104.0	156.0	98.0	134.0	101.0	128.0	117.0	177.0	155.0	115.0	243.0	256.0	133.0	154.0	283.0	165.0
e9e5453d19fdb35e1ad6163cbdb66e37	131.0	117.0	86.0	100.0	54.0	128.0	162.0	132.0	134.0	129.0	155.0	174.0	132.0	144.0	180.0	177.0	169.0	191.0
5e60d83a1adb960ddfa5aff1b7f17c86	94.0	348.0	66.0	101.0	76.0	135.0	76.0	114.0	53.0	81.0	186.0	113.0	190.0	64.0	345.0	73.0	94.0	85.0
2c44a5e6dbed239c20dba59ab3baf5b2	104.0	232.0	0.0	141.0	83.0	80.0	0.0	66.0	41.0	95.0	59.0	95.0	142.0	159.0	57.0	72.0	788.0	63.0
f1eb5817fcd032c5f781b3422cf68caa	132.0	114.0	113.0	101.0	82.0	120.0	149.0	108.0	127.0	93.0	134.0	152.0	147.0	149.0	172.0	90.0	79.0	141.0
98c3b0abf52a0424c47d9421c1be4961	82.0	215.0	110.0	79.0	55.0	80.0	86.0	120.0	93.0	79.0	109.0	97.0	138.0	179.0	124.0	182.0	231.0	133.0
4227a837a2b512ef8de9d7550762f54b	138.0	105.0	33.0	108.0	47.0	75.0	313.0	177.0	193.0	182.0	126.0	366.0	37.0	22.0	70.0	44.0	70.0	68.0
85454a2e08386703d079bfae48d01e4d	124.0	113.0	185.0	137.0	138.0	128.0	133.0	88.0	93.0	89.0	107.0	130.0	98.0	101.0	138.0	98.0	106.0	121.0
f7a6fcd66ada3722a49f06111f8c5790	139.0	119.0	160.0	167.0	127.0	174.0	85.0	79.0	98.0	94.0	94.0	111.0	100.0	128.0	95.0	133.0	100.0	121.0
61dcea11ae71fc40c6e6df5825a28aef	105.0	73.0	111.0	147.0	135.0	176.0	68.0	81.0	139.0	146.0	75.0	67.0	134.0	131.0	133.0	110.0	101.0	109.0
758300c9f99697052eec7298acb907e8	101.0	94.0	103.0	149.0	35.0	137.0	112.0	112.0	122.0	109.0	128.0	66.0	165.0	114.0	136.0	99.0	157.0	99.0
114956dab263148acf17501269389111	120.0	46.0	62.0	138.0	105.0	223.0	73.0	60.0	191.0	105.0	65.0	54.0	181.0	228.0	67.0	105.0	98.0	71.0
e07996c6f212646e5fd459bff0c18110	66.0	50.0	624.0	29.0	0.0	55.0	96.0	89.0	40.0	100.0	74.0	80.0	74.0	11.0	112.0	141.0	118.0	203.0
eaf299d50da951604217dd0787e2f6c0	94.0	100.0	142.0	127.0	94.0	90.0	67.0	49.0	97.0	81.0	88.0	92.0	106.0	128.0	131.0	120.0	134.0	148.0
be608be3474c2b5ee94dce2fd53518d4	62.0	37.0	50.0	147.0	89.0	153.0	0.0	0.0	133.0	103.0	83.0	91.0	153.0	438.0	58.0	89.0	104.0	70.0
17fbcf4ff0b12f1b0d956b13e887200d	61.0	226.0	293.0	53.0	97.0	151.0	55.0	43.0	36.0	67.0	91.0	0.0	81.0	131.0	71.0	258.0	77.0	64.0
789b6fdb1ab2a38ac44e41fa70469e38	62.0	70.0	199.0	116.0	190.0	139.0	55.0	104.0	50.0	61.0	91.0	38.0	92.0	136.0	68.0	102.0	183.0	93.0
5b8b1874f76b860cbd0d250b26522aba	98.0	144.0	105.0	71.0	81.0	118.0	108.0	106.0	86.0	66.0	112.0	111.0	80.0	116.0	129.0	102.0	61.0	132.0
629f5b36c263b9ee4eb178bc1b551fe6	64.0	117.0	59.0	115.0	13.0	41.0	75.0	75.0	99.0	88.0	110.0	63.0	164.0	207.0	146.0	141.0	160.0	83.0
581cde9ab39d3793473e19f0d302be3f	146.0	84.0	126.0	191.0	201.0	240.0	46.0	50.0	53.0	36.0	60.0	51.0	78.0	102.0	54.0	104.0	108.0	74.0
8d1e176968f8ccbacc8a11fac0ecaa18	83.0	102.0	63.0	190.0	43.0	0.0	104.0	151.0	168.0	52.0	88.0	69.0	187.0	42.0	73.0	51.0	0.0	291.0
df93935e795654380ade653ed1525965	90.0	96.0	231.0	251.0	154.0	123.0	43.0	29.0	87.0	46.0	66.0	87.0	59.0	122.0	52.0	94.0	64.0	59.0
cd0d9beab3067b65e2a1b8500ee222d7	0.0	33.0	0.0	53.0	91.0	0.0	25.0	176.0	0.0	81.0	115.0	88.0	697.0	53.0	15.0	26.0	193.0	100.0
d368eeb4b2a2e9f14221d10c1c892222	107.0	81.0	128.0	121.0	205.0	141.0	47.0	51.0	73.0	62.0	50.0	55.0	74.0	104.0	71.0	106.0	92.0	79.0
b48a53d6ad73e1a56d308c5c9c4be6ea	126.0	92.0	137.0	96.0	145.0	118.0	53.0	56.0	70.0	52.0	64.0	89.0	91.0	95.0	66.0	94.0	67.0	82.0
609c435df2b6d13fdf74492302880000	93.0	79.0	51.0	62.0	48.0	91.0	81.0	71.0	82.0	74.0	103.0	142.0	89.0	79.0	139.0	103.0	76.0	116.0
7f9e4ac47d5552f4acac9d749072113e	84.0	98.0	475.0	0.0	0.0	69.0	28.0	24.0	277.0	200.0	32.0	0.0	41.0	41.0	61.0	0.0	43.0	44.0
24dd2f242d30f22af3bf3ae541aa07b1	100.0	70.0	139.0	133.0	204.0	96.0	45.0	24.0	62.0	54.0	46.0	36.0	78.0	135.0	55.0	39.0	108.0	66.0
eb3fb4808ebf2ee9e68333c24d141e6a	49.0	158.0	144.0	83.0	107.0	65.0	50.0	74.0	59.0	56.0	79.0	59.0	85.0	122.0	91.0	93.0	30.0	85.0
fbef1c475896345c87edd8af594cadb5	25.0	40.0	69.0	60.0	90.0	53.0	62.0	45.0	69.0	87.0	74.0	55.0	102.0	162.0	139.0	124.0	103.0	85.0
a2868fbccc2901bf358e63bda94f1688	74.0	48.0	52.0	32.0	76.0	53.0	64.0	64.0	62.0	48.0	89.0	101.0	70.0	114.0	141.0	108.0	118.0	127.0
