Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
 14- and 16-membered macrolides [PATH:ko00522]	272.0	197.0	102.0	185.0	62.0	223.0	208.0	244.0	522.0	372.0	265.0	301.0	316.0	231.0	427.0	369.0	278.0	386.0
 aspartate and glutamate metabolism [PATH:ko00250]	407769.95000000007	445136.58	497024.13000000006	489278.08	485160.23	478385.7199999999	325435.9	403814.06999999983	452309.73	355275.3599999999	390323.37000000005	410986.92	489802.48999999993	528795.33	465990.66000000003	490805.88999999996	513128.47999999986	458752.58
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	908.17	1614.83	1311.0	1054.0	909.67	905.17	1000.5	1232.33	1248.84	903.67	1174.5	1146.9999999999998	1442.0	1388.17	1484.83	1503.98	1213.49	1339.6699999999996
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	26647.78	31354.57	31489.2	33309.4	29119.94	31212.81	20777.47	25125.89	31034.040000000005	23038.04	24924.96	26613.52	33743.380000000005	34213.55	30878.58	33878.92	33104.95	29630.400000000005
 leucine and isoleucine biosynthesis [PATH:ko00290]	249906.11000000004	264203.99999999994	297046.32	294898.91000000003	295221.5399999999	289974.11	196062.22000000003	233660.25	266147.85	210068.90999999997	236416.63	243889.23000000004	291173.85000000003	316395.34	280506.14	293666.6	306703.54000000004	273429.44
 leucine and isoleucine degradation [PATH:ko00280]	534250.0699999998	580200.6900000002	644952.7900000002	628941.82	633628.9199999999	620101.69	387562.7999999999	507415.8199999999	574618.94	450292.2099999999	492931.0700000001	484493.32999999996	624147.4399999998	674900.0400000002	592530.4600000001	641296.79	651724.0200000001	594318.3500000001
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	58484.0	59842.810000000005	74181.13	69327.09	74333.75	68324.65999999997	43047.50000000001	55087.670000000006	63737.26999999999	50409.520000000004	54070.93	55428.52	65890.05	74427.48	64144.41	68846.03	69770.01000000001	65424.73
 secretion and action [PATH:ko04928]	224.0	83.0	92.0	111.0	98.0	113.0	174.0	165.0	218.7	348.0	180.0	176.0	174.0	191.0	289.0	303.0	154.0	187.77
 secretion and action [PATH:ko04935]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
 serine and threonine metabolism [PATH:ko00260]	560453.5199999997	610290.4700000002	694725.65	679946.1399999998	670360.8500000002	654917.8999999999	431874.2100000002	550808.8099999999	628398.46	492520.49	533887.6500000003	547732.7999999999	667984.7599999999	718963.3200000003	631955.63	679314.0799999996	703886.1900000003	632808.4700000001
