PathwayL2	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
 sorting and degradation	684438.2	745359.2399999999	829351.2000000003	807165.0900000002	799009.9400000005	799691.6200000001	571962.6600000003	694167.33	775296.78	602466.8699999999	663426.8500000003	705522.5	831089.5099999999	888941.57	805222.0700000001	827123.16	845418.7300000001	785949.8799999999
Aging	326549.35	322351.53	382546.83999999997	383699.45000000007	399980.90000000014	393780.97000000003	249923.83999999994	297173.32999999996	337824.23	272389.84	302354.70999999996	312479.70999999996	371969.46	417064.7	351977.95	370074.03	393007.98000000004	347670.09
Amino acid metabolism	4926433.440000009	5302074.400000017	6011095.299999978	5890008.039999998	5901956.209999996	5733318.039999988	3732814.11	4743720.709999986	5379971.480000002	4231025.390000004	4626522.4200000055	4719251.469999997	5791966.0700000245	6265610.510000004	5503177.340000007	5889828.059999998	6093585.9	5490476.469999996
Biosynthesis of other secondary metabolites	899197.1499999999	1004528.4100000001	1105861.1400000001	1086850.3600000003	1061783.1600000001	1042629.7700000003	694826.7899999999	884370.0700000002	1030131.0999999999	793333.41	850838.4799999996	877364.2900000002	1096066.7299999997	1169372.0699999998	1028023.8499999997	1104085.31	1125770.66	1011291.2000000004
Cancer: overview	418119.4600000001	403742.91	492310.99999999994	490881.0799999999	518035.85000000003	500941.21	314347.68	371311.6199999999	426136.3500000001	340637.2800000001	383791.00999999995	393073.32	462389.1	522869.47	441324.73999999993	469014.19	496109.13	438687.85000000003
Cancer: specific types	176351.08000000002	152110.84	200897.69999999998	202774.86000000002	231475.08000000002	213970.21000000002	115975.83	136055.43	156983.0	131527.69	149933.74999999997	148330.8	174886.49999999997	208292.94000000003	169114.06	178771.02	191763.69	170776.48000000004
Carbohydrate metabolism	5338345.390000004	5896641.3400000185	6483701.879999996	6417849.140000002	6246458.159999996	6205641.15999999	4153163.7899999944	5177407.4899999825	5948549.860000003	4637916.450000005	5033204.610000014	5195045.799999985	6362892.000000028	6817693.37000002	6031065.750000006	6461088.220000005	6629613.399999991	5948072.88
Cardiovascular disease	173064.91000000003	159042.05999999997	200811.00999999998	200147.66	222556.45000000004	210409.60000000006	120910.29999999999	143994.18	166468.32	135896.21000000002	152935.99999999997	152691.31000000006	183352.90999999997	211753.11000000004	175508.48999999996	185274.47	196570.21	175881.20000000007
Cell growth and death	539750.6100000001	543769.7899999999	648561.54	634992.96	667790.5700000001	641469.72	403882.1300000001	495710.73999999993	550723.14	439912.1999999999	494919.74999999994	502891.7499999999	597071.4	666760.4000000001	580754.86	609425.67	631722.4900000001	578396.88
Cell motility	827375.3299999996	676034.6799999999	913012.53	996819.8	1123682.8199999998	1036278.76	532357.2100000002	598700.0800000003	731368.79	618014.4499999997	655979.3799999995	703509.6999999998	798392.0499999996	978343.7599999991	764008.6899999998	769641.5600000004	862086.9000000001	786299.1699999999
