pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	16188.4002	16979.2476	20041.9809	18994.5536	19846.5091	19084.6139	12686.8073	16039.2644	17887.3686	14341.542	15198.3029	15903.5444	18630.0702	20526.3214	18323.752	19013.5881	19420.1006	18291.0149
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	2258.3419	2163.2737	2458.8243	2540.3882	1982.5057	2112.5989	1712.4752	2031.5408	1996.4747	1846.0936	2097.7167	2238.5351	2390.0388	2214.2895	2228.0326	2406.6174	3171.3544	2550.1951
AEROBACTINSYN-PWY	aerobactin biosynthesis	15.9707	0.0	0.0	216.1951	15.9588	6.6614	0.0	0.0	18.6471	14.6465	9.3229	7.9927	14.6484	17.3077	23.9483	0.0	11.9889	19.9615
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	3575.8084	3980.9452	3133.1325	3561.7014	3178.9646	3396.8076	4868.5039	4924.9036	5183.8827	4216.5783	4602.3	5696.345	4391.8812	4115.1161	4701.0923	4347.7848	4483.8302	4108.7147
ANAEROFRUCAT-PWY	homolactic fermentation	16830.6346	18730.5412	20698.0839	20387.4387	19453.6994	19568.97	14251.5388	17199.4968	19426.2488	14960.6512	16599.9394	17291.1914	21380.4355	22480.3291	20297.8125	21042.577	21568.3549	19907.8725
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	17099.0498	18804.8407	20891.3106	20538.2448	19893.0442	19886.1798	14462.4409	18020.6419	20738.6258	15620.7266	16751.7797	17861.73	21572.8077	22908.4088	20644.8701	21483.16	21650.3673	20124.7138
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	10219.6664	10305.8987	11833.2283	12252.5702	11821.9031	11969.511	7911.7851	9319.9307	11233.0773	8942.4426	9454.8149	10251.1948	11477.4861	12436.7314	10871.3223	12112.063	12384.4738	10657.0153
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	2.7686	0.0	2.3231	1.3942	116.5554	3.7231	0.0	8.4968	5.5539	86.4898	0.0	5.3927	0.0	1.8512	0.0	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	3033.0727	4490.781	4964.8048	4248.5706	2710.9299	3323.7756	2994.4867	4227.3014	5417.460999999999	3578.0379	3811.8229	3704.0284	4685.0952	4805.0819	4652.6359999999995	5544.9859	4507.1562	4599.001
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	13064.4369	15692.4376	16330.7805	15943.1177	14328.4302	15348.0785	12042.5126	14698.612	15222.221000000001	11946.7289	13585.5529	14791.5682	16704.3481	17180.4402	16367.2143	16895.8071	17158.1014	15658.0062
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	17248.5443	18819.1461	20614.2403	20725.7311	20546.4733	20055.8825	14070.7465	17220.4365	18755.2844	14650.4988	16531.745	17511.0962	21098.8526	22222.9434	20050.1785	20652.7819	21334.0344	19589.3892
ARO-PWY	chorismate biosynthesis I	17102.5342	18338.8353	20739.2445	20151.9015	20374.4696	19712.5654	14177.1394	17636.9556	19249.5632	15120.9344	16665.0171	17629.9772	20735.9623	22264.351000000002	20150.0447	20672.8679	21286.7389	19736.7676
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	3959.3593	3693.3068	4588.2068	3989.4608	3610.7352	3282.1506	4214.3812	4523.7541	5811.5154	4496.2652	3997.6765	5469.5662	5182.0376	5659.4718	4231.8699	5092.7002	6328.6816	3801.9498
AST-PWY	L-arginine degradation II (AST pathway)	1333.7379	835.3293	1111.0357	1884.9219	1699.3239999999998	2249.7428	523.5411	691.5994	1166.1883	1049.5377	751.6422	1409.1759	1228.3943	1723.1955	794.127	926.0864	1347.3038	890.8979
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	14963.0588	13020.315	17522.6429	17006.7542	19110.0627	17363.8644	10525.9951	12059.3226	15145.4435	12465.9783	12945.222	13088.4847	16064.9184	18733.5333	15666.8128	15688.6097	16799.7324	15917.7969
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	24481.456000000002	26229.0237	29443.2947	28792.5636	28711.8137	28216.1383	19881.6553	24091.2266	26909.0052	20993.5142	23508.4659	24498.0543	29212.2355	31696.4778	28298.3853	29421.0096	30044.5901	27557.4783
CALVIN-PWY	Calvin-Benson-Bassham cycle	18171.7935	19770.3632	22593.7846	21619.5225	21917.2938	21406.7537	15094.2997	18447.701	20480.7425	15921.6971	17686.3055	18622.1823	22091.0442	23814.1157	21420.6761	21889.422000000002	22729.5072	20930.8815
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	2265.6578	2701.5123	3673.1016	3014.1504	2637.1901	2753.8034	1738.1758	2626.1274	4104.7698	2667.5958	2522.8927	2537.4208	3282.337	3505.6536	2613.2574	3907.8777	3159.5495	3005.5736
CENTFERM-PWY	pyruvate fermentation to butanoate	469.5498	642.2704	280.9963	367.3594	205.9285	358.0176	1100.5148	498.5163	731.5464	589.3348	373.033	1507.9922	207.2801	98.7138	277.286	159.6996	212.2121	378.23900000000003
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	1183.0918	1193.9273	1606.2838	1171.5302	1466.7007	1364.5138	2535.7954	2157.8401	2048.7615	1360.5587	2584.0905	2672.9861	3406.4557	3191.8278	2562.4164	2223.4907	3349.1659	1828.8175
COA-PWY	coenzyme A biosynthesis I	15771.6072	16853.3365	19095.8648	18652.2156	18782.256999999998	18536.7699	13049.0694	16134.6382	17792.6168	13726.8887	15290.9831	16271.9704	19106.1679	20692.5929	18530.3021	18878.1239	19464.0634	18251.7413
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	11126.6388	12743.5642	14895.9745	14362.8418	13868.9235	13737.4634	8870.8866	11003.635	13050.7831	9735.4547	10899.955	11132.1046	13823.9274	14892.9765	12805.4764	13975.1992	14485.5818	12502.583999999999
CODH-PWY	reductive acetyl coenzyme A pathway	117.8187	187.699	108.2104	185.6746	233.7405	145.6651	237.8454	106.5916	178.58599999999998	107.0249	199.1025	237.9241	224.3424	260.3	269.0137	174.5481	222.9019	111.6631
COLANSYN-PWY	colanic acid building blocks biosynthesis	11324.4849	10789.8319	12536.4	12170.6872	13187.6302	13061.8057	9713.587	10832.1535	11971.7584	9464.3967	11024.0979	11864.8764	12942.6561	14464.591999999999	13327.9088	13176.0626	13402.9547	12344.5047
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	17903.635	19062.9766	21699.4841	21063.6439	21384.4667	20673.0304	14862.7963	18416.3681	20122.1248	15807.2703	17423.4537	18462.1204	21648.838	23263.1929	21065.1573	21550.3803	22202.4256	20658.9079
CRNFORCAT-PWY	creatinine degradation I	29.1936	56.0852	8.9962	31.7504	7.497000000000001	9.7452	0.0	156.1887	64.9981	90.16799999999999	77.5157	115.4667	42.6547	0.0	16.4858	74.8901	50.1461	17.9826
DAPLYSINESYN-PWY	L-lysine biosynthesis I	17949.0596	19150.0522	21878.4406	21030.4161	21350.0797	21012.5657	13928.2649	17420.9318	19654.3091	15504.7382	16700.7093	17528.5734	21011.5508	22946.9955	20314.5779	21141.8634	21633.9479	20326.5809
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	612.8601	477.0843	822.9203	808.9742	960.3325	819.3743	654.5168	962.4724	1206.5641	1029.3349	1031.5085	736.2848	886.6201	940.9336	1109.7774	977.3919	1140.3993	1041.2526
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	5342.7854	6877.3736	6437.3492	10301.4588	7483.3869	9661.9713	4019.3506	6270.4654	8000.9028	5721.7455	5775.5222	5772.6387	8450.818000000001	9564.523000000001	6368.1815	5960.82	8053.3735	7012.8147
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7198	9.218	39.5791	0.0	75.6925	0.0	27.3276	0.0	0.0	19.8912	9.4037
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	18175.4027	19539.7131	22504.1172	21850.1819	22435.2594	20740.2925	14300.3561	18271.0811	20652.7527	15823.7603	17236.7188	17434.8578	22487.5436	24097.9808	20763.8329	21592.1728	23008.6789	20669.8976
ECASYN-PWY	enterobacterial common antigen biosynthesis	0.0	0.0	1.2853	0.0	1.0711	0.6427	64.6416	1.7136	0.0	3.9175	2.5701	13.8974	0.0	2.5703	0.0	0.857	0.0	0.0
