sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
KO1	46809	24085	51.45	23018	17067	36.46	16187	34.58
KO2	46735	23735	50.79	22706	17936	38.38	17403	37.24
KO3	46738	24423	52.26	23640	20147	43.11	19930	42.64
KO4	46902	24577	52.4	23711	19969	42.58	19576	41.74
KO5	46478	23190	49.89	22568	19884	42.78	19695	42.37
KO6	46990	25483	54.23	24455	19486	41.47	18939	40.3
OE1	46164	19890	43.09	18743	14135	30.62	13785	29.86
OE2	46882	24591	52.45	23349	17721	37.8	16962	36.18
OE3	46979	25616	54.53	24497	19346	41.18	18711	39.83
OE4	46390	20883	45.02	19814	15057	32.46	14655	31.59
OE5	46112	21946	47.59	21022	16737	36.3	16040	34.78
OE6	46619	24563	52.69	23277	17475	37.48	16773	35.98
WT1	47029	26012	55.31	25060	21252	45.19	20443	43.47
WT2	47313	26962	56.99	26114	22627	47.82	21802	46.08
WT3	47456	26396	55.62	25297	20211	42.59	19551	41.2
WT4	47123	25849	54.85	24888	20589	43.69	19909	42.25
WT5	47085	25961	55.14	25042	21438	45.53	20771	44.11
WT6	47263	25394	53.73	24302	19595	41.46	19113	40.44
