	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0.0	0.35538628944504896	0.3733768589046065	0.3205658324265506	0.3719260065288357	0.31200580340950307	0.41530649256438157	0.44011606819006166	0.395284729778745	0.36655785273848385	0.35698222705839683	0.3829524845846935	0.39347116430903156	0.3783097569822271	0.3681537903518317	0.3717809212912586	0.3767138193688792	0.3474791439970983
KO2	0.35538628944504896	0.0	0.4244468625317374	0.3995647442872688	0.48407689517591584	0.3708378672470076	0.43286180631120785	0.41791802684076895	0.4060935799782372	0.40761697497279653	0.37787450126949584	0.41595937613347844	0.3708378672470076	0.3988393180993834	0.3635836053681538	0.36430903155603916	0.40725426187885383	0.36793616249546607
KO3	0.3733768589046065	0.4244468625317374	0.0	0.35894087776568734	0.3757707653246282	0.3690968443960827	0.5066376496191513	0.4723249909321727	0.4058034095030831	0.4196590496916939	0.4317011244105912	0.4898803046789989	0.4428726877040261	0.42582517228871963	0.4363438520130577	0.41356546971345665	0.4136380123322452	0.38418570910409866
KO4	0.3205658324265506	0.3995647442872688	0.35894087776568734	0.0	0.36873413130214	0.31229597388465724	0.4647805585781647	0.4677548059484947	0.40710917664127677	0.3958650707290533	0.37490025389916576	0.4517228871962278	0.39216539717083787	0.3879579252811026	0.40993833877402974	0.3968806673920929	0.37758433079434167	0.37388465723612624
KO5	0.3719260065288357	0.48407689517591584	0.3757707653246282	0.36873413130214	0.0	0.372506347479144	0.5403699673558215	0.5059122234312659	0.48480232136380125	0.44932898077620603	0.4454842219804135	0.5388465723612622	0.44272760246644904	0.41051867972433803	0.46195139644541167	0.45426187885382663	0.4045701849836779	0.4231410953935437
KO6	0.31200580340950307	0.3708378672470076	0.3690968443960827	0.31229597388465724	0.372506347479144	0.0	0.4649981864345303	0.47936162495466084	0.4100834240116068	0.38512876314834965	0.3789626405513239	0.4207471889735219	0.39898440333696045	0.40863257163583605	0.40159593761334783	0.39347116430903156	0.388683351468988	0.3965904969169387
OE1	0.41530649256438157	0.43286180631120785	0.5066376496191513	0.4647805585781647	0.5403699673558215	0.4649981864345303	0.0	0.4078346028291621	0.43685165034457746	0.40522306855277473	0.383025027203482	0.3773667029379761	0.43025027203482047	0.46565107000362715	0.3764961915125136	0.42393906420021765	0.46195139644541167	0.37947043888284365
OE2	0.44011606819006166	0.41791802684076895	0.4723249909321727	0.4677548059484947	0.5059122234312659	0.47936162495466084	0.4078346028291621	0.0	0.3992745738121146	0.397170837867247	0.380050779833152	0.42582517228871963	0.3948494740660138	0.4475154153064926	0.37685890460645627	0.4140007254261879	0.4305404425099746	0.3350018135654697
OE3	0.395284729778745	0.4060935799782372	0.4058034095030831	0.40710917664127677	0.48480232136380125	0.4100834240116068	0.43685165034457746	0.3992745738121146	0.0	0.3211461733768589	0.3680087051142546	0.4068190061661226	0.35458832063837503	0.389626405513239	0.36459920203119334	0.3738121146173377	0.3869423286180631	0.33978962640551325
OE4	0.36655785273848385	0.40761697497279653	0.4196590496916939	0.3958650707290533	0.44932898077620603	0.38512876314834965	0.40522306855277473	0.397170837867247	0.3211461733768589	0.0	0.3429089590134204	0.3814290895901342	0.36329343489299964	0.3717809212912586	0.35473340587595215	0.34943779470438885	0.3694595574900254	0.334639100471527
