SampleID	observed_features	shannon	simpson	chao1	ACE	pielou_evenness	Group
KO1	380	5.11032763749413	0.984772949102157	384.666666666667	382.042102174691	0.860299715290825	KO
KO2	386	5.19620904439606	0.987246881318618	387.5	387.365723382319	0.87245650310008	KO
KO3	375	4.99612231045561	0.984747910452886	384.166666666667	377.605238758336	0.842953377275802	KO
KO4	362	5.01290714823406	0.985369677264283	366.666666666667	363.40789506153	0.850850283554479	KO
KO5	340	4.80438239784027	0.980158491281927	341.615384615385	341.713701297877	0.824228379027151	KO
KO6	384	5.13259256449291	0.987625586942013	385.153846153846	385.482578889718	0.862527452982522	KO
OE1	381	5.17763507269884	0.986439803242947	381.333333333333	381.539327004465	0.871245139852707	OE
OE2	421	5.19917904790552	0.986846084007615	424.5	422.514532950983	0.860416178015096	OE
OE3	418	5.06288713919253	0.984925149147177	419.3125	419.488532882368	0.838853900189141	OE
OE4	363	5.11370259126268	0.987997882923791	363.75	363.77743482293	0.867552275446145	OE
OE5	385	5.18527068767852	0.988559100197881	388	386.345960424299	0.870999285013917	OE
OE6	441	5.31274184850333	0.988878571891853	443	442.735468725925	0.872508243439978	OE
WT1	381	4.92426588526616	0.982056418791669	382.25	381.87248711533	0.828610487151297	WT
WT2	389	4.83511280978452	0.979559763395816	389.833333333333	389.900104058273	0.810773619530779	WT
WT3	475	5.3119970613108	0.98850523394863	476.75	476.693736568468	0.861873396087678	WT
WT4	451	5.19903557489415	0.98658798279027	458.157894736842	455.474486087506	0.85070168685827	WT
WT5	390	4.95751368364162	0.984193955334323	390.3	390.823645225948	0.830940622216373	WT
WT6	416	5.18049945882016	0.987436507776756	416.789473684211	417.269451337333	0.859023350622634	WT
