FeatureID	FullPath	CompactPath	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
0017b6899a0904f302253a62115181bf	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc_PCC-7107;Unassigned	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Nostoc_PCC-7107	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
005d4f7134fa2808c6d15bd73dc76c0d	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
00836772b782620d496d060a298fc7eb	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae_Sedis;Unassigned	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;Incertae_Sedis	0	0	0	29	0	25	0	0	0	0	13	0	0	0	0	0	0	0
0091167b8dc904da47b75f4475194893	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae	44	11	22	36	175	0	13	36	0	64	46	29	23	0	32	39	22	43
00993b7fa8df72adef8f0cf2b360de94	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Unassigned;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae	0	22	0	0	29	16	0	19	18	11	0	0	0	0	17	0	0	0
01061ad5b34963006479b16203fd3c5c	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;Unassigned	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	6	11
010ca3cb78cbd35ca5b03fd7533335bc	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_10;Unassigned	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup_10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0152071386cff540302d99ed3dad936d	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Incertae_Sedis;Incertae_Sedis	0	0	6	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0
01d1c2b1ac2eb16fc26499343847e87e	Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;cvE6;Incertae_Sedis;Unassigned	Bacteria;Chlamydiota;Chlamydiia;Chlamydiales;cvE6;Incertae_Sedis	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
01e26c95617448e11eedddd76a118d59	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;Unassigned	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
