Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Actinomycetota	23.7474516587385	39.8954203298282	26.5980933266433	26.9718022067838	15.4658542777355	21.8543745709911	25.360899528473	31.2816884801321	31.3612313612314	26.1753667690208	27.5249376558603	25.6662493292792	32.8474294379494	27.8781763140996	30.1109917651271	33.7133959515797	31.0817967358336	29.8226338094491
Pseudomonadota	62.2351269537283	45.0956731598	56.5127947817361	58.6841029832448	70.6626047220107	64.185015048313	47.4283641639463	42.3476005188067	44.9361338250227	50.8768338451041	52.5062344139651	49.4187086388839	45.1646040209363	54.1876892028254	49.4041225512761	49.8417800994525	50.9123296904338	51.6768691466541
Bacteroidota	3.38543275467968	3.08567488364075	9.36778725539388	3.5042909685329	5.91520690530592	2.81429853740958	3.70692782009431	9.43284989977597	10.2185879963658	8.60457181849198	4.06483790523691	3.43409050259345	6.07542924228342	6.82506192092469	5.68257378139226	4.69636847656839	4.75663184247268	7.20452048344059
Bacillota	1.55680484339285	2.10308567488364	1.52032112393377	3.36636697997548	0.675298299060675	1.49427108083848	5.5930359085963	2.73552647093503	2.12174656619101	3.26168543159331	1.26558603491272	5.00804864961545	0.567431394609402	0.243096963581323	0.87463556851312	0.713245265960119	0.539213326272206	0.926071260398681
Chloroflexota	2.33520726508927	3.2523128196288	0.717511289513296	2.39579076420106	1.92434628078192	1.45203020222821	2.11824446862532	3.60806508666431	1.7583239805462	2.42920504947117	2.48753117206983	2.74846479461039	5.85041334442107	1.38060728373544	2.65459567285561	1.98402732432568	2.92715805690626	2.47475540208235
Myxococcota	4.66423673318095	4.43027064299259	2.96537882589062	3.23865958316306	2.33054074638233	5.86620201700195	4.43235400797969	3.34866171442047	3.45785901341457	4.85841009894234	3.47256857855362	3.74411256185536	3.169789169887	2.83001559489955	4.28111094061685	3.68175197147019	2.85494198642338	4.00251137968922
Cyanobacteriota	0.247111879903626	0.488421536516693	0.878073256397391	0.194115243154884	0.609291698400609	0.765615924811236	7.44287268770403	4.01485673859215	3.51130351130351	1.72637325145002	6.00997506234414	6.20044118523818	4.26551875947757	3.9812861205394	3.49342744616644	2.88311818775428	5.223629098262	1.69518129022132
Bdellovibrionota	0.500401556804843	0.425214043555709	0.526843953838435	0.888843481814467	1.55369383092155	0.332646919055916	0.754443235400798	0.430373776677279	0.475656031211587	0.668713749573524	0.604738154613466	0.405413462111727	0.58210634446999	1.29804605082103	0.644468313641246	0.452056858707117	0.66438784844254	0.533668183958562
NB1-j	0.197689503922901	0.258576107567661	0.125439036628199	0.209440130772374	0.0812388931200812	0.242885052009082	0.515052593398622	0.235821247494399	0.197744642189087	0.307062436028659	0.199501246882793	0.620044118523818	0.234799197769408	0.201816347124117	0.327348984706665	0.155708473554674	0.245534639641808	0.46041960968974
Gemmatimonadota	0.179156112930129	0.120668850198242	0.0301053687907677	0.0919493257049448	0.0710840314800711	0.105602196525688	0.311933260790715	0.188656997995519	0.0962000962000962	0.129648584100989	0.168329177057357	0.149049066952841	0.122291248838233	0.133015319695441	0	0.215982721382289	0.125174522170334	0.0837126563072254
