function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
EC:1.1.1.1	Alcohol dehydrogenase	39355.7	43914.98000000002	48375.17000000001	48104.71	46729.26	46705.95	31885.27	39077.31000000001	43290.7	34127.85	38850.69	39702.460000000014	45748.32000000001	49288.73	44860.76000000001	48251.16	50328.44	43708.38000000001
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	94060.68	110651.05	112083.97	113180.59	103714.46	108622.68	75704.57	96517.19000000002	103944.01	81231.43999999999	90703.88	93744.1	114886.12	118883.07	109196.43	116555.26	117210.47	106477.00999999998
EC:1.1.1.102	3-dehydrosphinganine reductase	68.5	18.0	74.5	191.0	12.0	9.0	47.0	32.5	35.0	48.0	9.0	54.0	34.0	0.0	61.0	45.0	19.0	20.0
EC:1.1.1.103	L-threonine 3-dehydrogenase	2894.5	3312.33	3501.6	3670.75	3452.5	3712.63	2124.32	3007.05	3497.67	2836.5	3039.45	2817.67	3221.67	3302.95	3352.67	4103.32	3388.59	3138.25
EC:1.1.1.108	Carnitine 3-dehydrogenase	545.0	538.0	1011.75	971.43	1231.58	891.0	335.5	585.5	449.5	492.5	704.45	531.5	462.75	771.0	468.25	645.8	940.75	586.25
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	1239.1699999999996	527.0000000000001	861.3299999999998	1033.33	1668.67	902.67	622.67	959.0	931.34	869.5	1027.0	637.1700000000002	1329.0	1685.67	1037.3300000000004	976.65	1528.99	1282.6699999999996
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	5302.12	6435.75	6661.05	7503.76	6944.32	7006.42	3207.17	4485.0	5917.8899999999985	4220.32	5055.200000000002	5022.92	5741.5	6767.67	5185.58	6462.6500000000015	6969.6	5044.32
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	5445.42	5460.25	8092.93	7842.33	7721.67	6995.1100000000015	3848.34	4549.3	4944.46	4458.219999999998	5113.95	4958.42	4990.08	5726.87	5243.83	5514.049999999998	5919.41	5771.1100000000015
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	136.0	68.0	33.6	51.0	74.5	21.3	147.4	113.8	193.0	313.0	141.2	93.0	145.0	167.2	253.0	228.4	100.0	155.0
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	1423.0	1742.75	1857.58	1529.1	1587.75	1575.67	873.25	1338.25	2028.67	1536.33	1296.9	1433.25	1501.33	1755.25	1347.25	2051.6	2311.42	1320.92
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase	18637.730000000003	18544.24	21588.74	21872.83	22999.93	21368.42	13829.55	17078.510000000002	20258.22	15838.33	16456.74	17163.53	21368.23	23218.76	19721.83	20569.09	21932.86	19351.78
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	2076.83	2110.33	1980.14	2642.17	2402.63	2576.23	2049.2	2284.3	1782.73	1810.17	1857.2	1984.8	2227.83	1901.67	2242.67	2008.74	2100.66	2142.66
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
EC:1.1.1.14	L-iditol 2-dehydrogenase	1801.75	2916.41	2349.0	2465.33	1946.16	2497.46	1791.9299999999996	2567.16	2607.75	1931.89	2595.26	2283.390000000001	2310.74	2385.5	2480.0	2932.16	3325.26	2236.0
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase	12.0	23.0	19.6	153.0	38.5	29.3	30.4	30.8	0.0	1.83	1.2	6.5	23.0	8.2	0.0	11.4	55.0	21.0
EC:1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase	57.0	64.0	55.0	42.0	10.0	13.0	37.0	48.0	55.0	42.0	22.0	46.0	36.0	0.0	85.0	22.0	27.5	33.0
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	21900.000000000004	27632.660000000003	27339.99	25658.5	23958.79	25425.92	17680.769999999997	23627.9	27361.18	20632.14	21399.1	21455.640000000007	28596.08	29044.54	26890.500000000004	29798.93	28937.020000000004	26264.150000000005
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase	328.0	789.0	607.1	641.5	432.0	417.3	227.4	337.3	226.0	311.0	285.2	305.0	475.0	408.7	501.0	564.9	1012.5	387.5
EC:1.1.1.169	2-dehydropantoate 2-reductase	21344.01	21724.730000000003	23825.77	24569.23	25399.52	23814.2	15201.24	18430.08	22476.94	17992.77	18751.27	18828.200000000004	22674.51	25228.96	22386.09	24782.58	24427.07	21565.410000000003
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	337.75	517.75	316.6	743.0	180.0	316.77	774.5	619.3	495.75	486.72	278.95	858.25	232.25	144.2	272.5	282.65	208.75	298.0
EC:1.1.1.170	(decarboxylating)	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	14.0	11.0	7.0	6.0	11.0	13.0	18.0	0.0	9.0	15.0
EC:1.1.1.173	L-rhamnose 1-dehydrogenase	148.0	116.0	256.0	312.33	216.0	218.0	49.0	77.0	124.0	71.0	126.0	144.0	78.0	194.0	66.0	153.0	132.0	97.0
EC:1.1.1.18	Inositol 2-dehydrogenase	6191.0	7772.25	7602.0	8975.66	7405.5	7356.5	4313.58	6778.25	8512.0	6160.66	6261.75	6680.75	7808.25	8854.25	6683.0	9481.5	9203.35	6706.5
