function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	11841.25	12728.16	14589.43	14077.25	15562.43	14811.8	8143.04	10897.9	11150.740000000002	9431.84	11444.9	10231.44	12828.83	14577.34	12798.34	13229.29	15253.16	12551.81
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	14663.45	16094.16	17419.45	17403.0	17228.13	17411.92	11979.32	14245.78	15909.34	12506.71	14085.12	14873.56	17363.739999999998	18493.09	16845.0	17369.12	17956.68	16275.820000000003
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	748.5	663.0	568.05	917.63	290.38	538.4	740.1999999999998	1004.6	1501.9	938.5	684.25	876.3	715.75	719.0	742.25	1218.6	850.25	591.25
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	166.0	413.33	339.6	1060.0	193.0	229.07	1303.38	1012.13	698.0	662.6899999999998	848.57	1285.99	997.33	886.2	786.0	604.53	1114.67	387.0
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	1239.1699999999996	527.0000000000001	861.3299999999998	1033.33	1668.67	902.67	622.67	959.0	931.34	869.5	1027.0	637.1700000000002	1329.0	1685.67	1037.3300000000004	976.65	1528.99	1282.6699999999996
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	1801.75	2916.41	2349.0	2465.33	1946.16	2497.46	1791.9299999999996	2567.16	2607.75	1931.89	2595.26	2283.390000000001	2310.74	2385.5	2480.0	2932.16	3325.26	2236.0
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	337.75	517.75	316.6	743.0	180.0	316.77	774.5	619.3	495.75	486.72	278.95	858.25	232.25	144.2	272.5	282.65	208.75	298.0
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	6191.0	7772.25	7602.0	8975.66	7405.5	7356.5	4313.58	6778.25	8512.0	6160.66	6261.75	6680.75	7808.25	8854.25	6683.0	9481.5	9203.35	6706.5
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77
