Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
K01585	3876.9625979906	0.443325451749594	0.0705270682292142	93.9474859001022	3.97706457347561e-21	2.69724519373116e-17	speA; arginine decarboxylase [EC:4.1.1.19]
K03651	1310.21478098121	1.15140267693652	0.162867839827044	85.9538587944261	2.16449563155402e-19	7.33980468659966e-16	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
K07443	3203.67050352845	0.340604029540514	0.0845670027726358	75.7523826544051	3.55286831638391e-17	8.03185097390522e-14	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
K01893	3599.28204523952	0.362485109489147	0.0745166456499696	75.0756890691587	4.98334845852472e-17	8.44926731142866e-14	NARS, asnS; asparaginyl-tRNA synthetase [EC:6.1.1.22]
K02294	539.055746461531	2.66456686382812	0.330753648579243	73.7126111408406	9.85167026124754e-17	1.33628055423562e-13	crtR; beta-carotene hydroxylase [EC:1.14.13.-]
K02703	1108.64531965408	2.85396891645371	0.358149834720177	72.2477612188983	2.0492643569002e-16	1.98544440978531e-13	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K05575	1598.74573821141	2.84662380457723	0.353575060009695	72.503092610454	1.80365503789742e-16	1.98544440978531e-13	ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]
K05580	537.136965371964	2.64804128039317	0.336807836912123	71.8624230090836	2.48469516837686e-16	2.10640032899148e-13	ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00441	597.907900422382	2.4556432046304	0.313964854938086	71.4342077647704	3.07793096155076e-16	2.31939197569303e-13	frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K15633	3861.94064232791	0.349302578638384	0.0836084622817648	71.0878489474709	3.65990435357678e-16	2.48214713259578e-13	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K06873	674.963478018754	2.01041458570072	0.263670855760058	69.9238541474725	6.54979934068823e-16	4.03824901168614e-13	K06873; uncharacterized protein
K16881	1551.64654407741	1.18185072135422	0.166837536917411	69.3857263316487	8.57197637962113e-16	4.84459531721588e-13	K16881; mannose-1-phosphate guanylyltransferase / phosphomannomutase [EC:2.7.7.13 5.4.2.8]
K02290	1068.31612869476	2.84398004220573	0.362628381786492	69.1217012062867	9.78167644265709e-16	5.03631901206901e-13	cpcG; phycobilisome rod-core linker protein
K03310	2699.84260814023	0.571086673100712	0.137667070529683	68.9998014829936	1.03964119977833e-15	5.03631901206901e-13	TC.AGCS; alanine or glycine:cation symporter, AGCS family
K02636	650.654747099169	2.14659330007461	0.293270413369153	67.5296810141387	2.16828360219199e-15	9.80353292671073e-13	petC; cytochrome b6-f complex iron-sulfur subunit [EC:1.10.9.1]
K11102	369.372214358434	-0.378981220364156	0.281785348026985	67.3141814671903	2.41496709394377e-15	1.02364417694542e-12	gltP, gltT; proton glutamate symport protein
K02705	554.378206417499	2.84448260922816	0.374363178457411	66.8880405423866	2.98845378151696e-15	1.13749108406716e-12	psbC; photosystem II CP43 chlorophyll apoprotein
K14162	16288.1610375234	-0.106312634262928	0.0260925518331955	66.8677032941769	3.01899727413874e-15	1.13749108406716e-12	dnaE2; error-prone DNA polymerase [EC:2.7.7.7]
K08906	562.232764849926	2.84235884361176	0.374837011765515	66.6786987930271	3.3182150353624e-15	1.18442812472778e-12	petJ; cytochrome c6
K02720	1017.44614283391	2.8554694877029	0.366575968764926	66.1921699283066	4.23207082819694e-15	1.43509521784158e-12	psbV; photosystem II cytochrome c550
K02641	540.102622854185	2.6850208793142	0.351995246592918	65.615608489377	5.64614013766601e-15	1.66487488755004e-12	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]
K02698	542.587095917422	2.85062324058006	0.374715927135987	65.6265747270928	5.61526639974058e-15	1.66487488755004e-12	psaK; photosystem I subunit X
K02706	542.587095917422	2.85062324058006	0.374715927135987	65.6265747270928	5.61526639974058e-15	1.66487488755004e-12	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K00150	518.876301385915	2.85257640631327	0.380255824022362	62.4131402273079	2.80000495903267e-14	2.23764877438434e-12	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00214	517.970812780069	2.85024137521338	0.380126426205784	62.3634293193163	2.87047247672424e-14	2.23764877438434e-12	BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
K00835	536.169366835868	2.79471486551461	0.372335092251602	63.6678218070875	1.49523053411045e-14	2.23764877438434e-12	avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
K02092	518.858267477773	2.85312132827136	0.378380771865251	63.033252278031	2.05354006106813e-14	2.23764877438434e-12	apcA; allophycocyanin alpha subunit
K02093	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	apcB; allophycocyanin beta subunit
K02094	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	apcC; phycobilisome core linker protein
K02095	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	apcD; allophycocyanin-B
K02096	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	apcE; phycobilisome core-membrane linker protein
K02097	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	apcF; phycobilisome core component
K02284	518.60094260456	2.85024180490464	0.3801983368238	62.4176670322667	2.79367458765777e-14	2.23764877438434e-12	cpcA; phycocyanin alpha chain
K02285	529.545200662084	2.85681825923849	0.377128738048303	64.434053122089	1.01934956332188e-14	2.23764877438434e-12	cpcB; phycocyanin beta chain
K02288	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]
K02289	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]
K02293	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	PDS, crtP; 15-cis-phytoene desaturase [EC:1.3.5.5]
K02634	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	petA; apocytochrome f
K02635	534.115784114795	2.80228543101083	0.376323269254473	62.8012262110217	2.30614706882247e-14	2.23764877438434e-12	petB; cytochrome b6
K02637	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	petD; cytochrome b6-f complex subunit 4
K02638	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	petE; plastocyanin
K02643	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	petM; cytochrome b6-f complex subunit 7
K02691	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psaC; photosystem I subunit VII
K02693	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psaE; photosystem I subunit IV
K02694	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psaF; photosystem I subunit III
K02697	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psaJ; photosystem I subunit IX
K02700	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psaM; photosystem I subunit XII
K02704	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbB; photosystem II CP47 chlorophyll apoprotein
K02707	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbE; photosystem II cytochrome b559 subunit alpha
K02709	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbH; photosystem II PsbH protein
K02714	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbM; photosystem II PsbM protein
K02715	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbN; PsbN protein
K02716	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbO; photosystem II oxygen-evolving enhancer protein 1
K02717	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbP; photosystem II oxygen-evolving enhancer protein 2
K02718	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbT; photosystem II PsbT protein
K02722	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbX; photosystem II PsbX protein
K02723	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbY; photosystem II PsbY protein
K02724	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psbZ; photosystem II PsbZ protein
K05356	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	SPS, sds; all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]
K05371	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	pcyA; phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]
K05572	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:1.6.5.3]
K05573	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:1.6.5.3]
K05574	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]
K05576	524.669678673237	2.8557130047267	0.380356718194183	63.0703994798836	2.01575045836519e-14	2.23764877438434e-12	ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3]
K05579	518.383558581054	2.85089238099393	0.380230363592626	62.3746533968868	2.85440839214721e-14	2.23764877438434e-12	ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:1.6.5.3]
K05581	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:1.6.5.3]
K05582	518.60094260456	2.85024180490464	0.3801983368238	62.4176670322667	2.79367458765777e-14	2.23764877438434e-12	ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:1.6.5.3]
K05583	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:1.6.5.3]
K05584	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:1.6.5.3]
K05585	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:1.6.5.3]
K07769	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	nblS; two-component system, OmpR family, sensor histidine kinase NblS [EC:2.7.13.3]
K08902	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psb27; photosystem II Psb27 protein
K08903	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	psb28; photosystem II 13kDa protein
K09012	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	sufR; DeoR family transcriptional regulator, suf operon transcriptional repressor
K11521	520.56518561185	2.84268912831064	0.376983391942311	63.2552497516995	1.83779489456606e-14	2.23764877438434e-12	K11521, manR; two-component system, OmpR family, manganese sensing response regulator
K11780	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	cofG; FO synthase subunit 1 [EC:2.5.1.77]
K11781	518.680939608436	2.85127603230496	0.38011697037704	62.4459281721033	2.75447597517496e-14	2.23764877438434e-12	cofH; FO synthase subunit 2 [EC:2.5.1.77]
K12073	530.660003981909	2.71821550941723	0.36085512768308	64.1568767101466	1.17087689014056e-14	2.23764877438434e-12	E3.1.2.28; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]
K13799	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	panC-cmk; pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]
K14330	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	K14330; fatty aldehyde-generating acyl-ACP reductase [EC:1.2.1.80]
K14331	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	K14331; fatty aldehyde decarbonylase [EC:4.1.99.5]
K14518	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	pipX; PII interaction protein X
K14605	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	cruA; lycopene cyclase CruA [EC:5.5.1.19]
K14606	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	cruP; lycopene cyclase CruP [EC:5.5.1.19]
K15226	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	tyrAa; arogenate dehydrogenase (NADP+) [EC:1.3.1.78]
K18534	517.118239226514	2.85783952243024	0.378883193972175	63.0555142139133	2.03080891699616e-14	2.23764877438434e-12	K18534; MPBQ/MSBQ methyltransferase [EC:2.1.1.295]
K19003	518.285877692315	2.85024158103447	0.380160867214947	62.3910494715857	2.83110350323517e-14	2.23764877438434e-12	mgdA; 1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]
K17892	528.297804875019	2.74491800151513	0.369928238662334	62.3222130443331	2.93024131512973e-14	2.25828370445567e-12	FTRC; ferredoxin-thioredoxin reductase catalytic chain [EC:1.8.7.2]
K02711	517.713487906856	2.84735618879638	0.381996413539074	61.7400678354972	3.92025767150169e-14	2.9873244413623e-12	psbJ; photosystem II PsbJ protein
K18678	606.333652695122	2.02316747831748	0.293439147823669	61.6776472137156	4.04453948091501e-14	3.04778519550729e-12	VTE5; phytol kinase [EC:2.7.1.182]
K02640	509.37143954247	2.86277380346356	0.3822411819696	61.571682092728	4.2646079562271e-14	3.17830452298156e-12	petG; cytochrome b6-f complex subunit 5
K00372	11350.0968468433	-0.0844697133142088	0.0290305616625412	60.8705213490293	6.05528005262973e-14	4.46379449097118e-12	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
K01523	12804.4890363917	-0.0612713216121766	0.0260880265650271	60.4898542373139	7.32478778578583e-14	5.34158180249457e-12	hisE; phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K07978	519.271955421863	2.81523272351912	0.38330323027347	60.1576418040124	8.64836598741595e-14	6.23970405602712e-12	plmA; GntR family transcriptional regulator
K18814	520.786134468838	2.82801488150025	0.384029487875374	60.1123810330741	8.84631320643192e-14	6.31533643852856e-12	ictB; putative inorganic carbon (hco3(-)) transporter
K07183	15844.5819229524	-0.117929570797083	0.0422847800471096	59.1701371575206	1.41699386362923e-13	1.00104712324307e-11	nasT; two-component system, response regulator / RNA-binding antiterminator
K00124	9771.78181065818	-0.227546937028366	0.0545746824306482	58.4161768535288	2.06580045771477e-13	1.44435656744552e-11	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K16127	494.285239954655	2.84487350560349	0.390408070533906	57.6440129255187	3.03921648245286e-13	2.10326185550972e-11	mcyG; microcystin synthetase protein McyG
K00464	631.646048364462	1.94669725933425	0.2880810505126	57.2083156873004	3.7789582079113e-13	2.58877722889439e-11	diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K00557	371.580331789085	-0.354291426948777	0.279308803544107	57.1789866897511	3.83478305722508e-13	2.60074986941005e-11	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]
K07456	3056.38958959883	0.397872646175817	0.0963190505160383	56.7473659975727	4.758455829933e-13	3.163906611628e-11	mutS2; DNA mismatch repair protein MutS2
K13873	157.423114736078	-1.2811811215434	0.246343427523443	56.7550774546415	4.74014384172403e-13	3.163906611628e-11	araA; L-arabinose 1-dehydrogenase [EC:1.1.1.376]
K11755	3184.73687133162	0.366485505527855	0.0940208560973372	56.7190385892713	4.82633275009871e-13	3.17788239914266e-11	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
K07079	620.752146673308	2.12165420470093	0.33032957934762	55.7902215950357	7.67904669657364e-13	5.00762449001562e-11	K07079; uncharacterized protein
K02639	2091.34134827969	2.82709770718715	0.398624121063583	55.6476358427357	8.24649521413408e-13	5.32645052783403e-11	petF; ferredoxin
K09880	2152.58364965397	0.616440240593964	0.105363206373111	55.3249851587453	9.69018608512862e-13	6.19989075748512e-11	mtnC, ENOPH1; enolase-phosphatase E1 [EC:3.1.3.77]
K02168	882.35599641176	1.21441638361695	0.225528659809952	54.6772928324295	1.33960487317347e-12	8.49084135501165e-11	betT, betS; choline/glycine/proline betaine transport protein
K02618	4828.54264875647	-0.198806212639609	0.0653395130474765	54.618618858868	1.37948699388607e-12	8.66266740049565e-11	paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]
K01644	18945.5975987493	-0.0537233049457661	0.029158333724313	54.5104488276866	1.45615107120134e-12	9.06019868338305e-11	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
K02614	7055.09398498303	-0.0711782229043544	0.0494695625397072	54.134823798189	1.75700247320603e-12	1.0832718884803e-10	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
K00019	12883.4789893793	-0.0862420307228642	0.0264209094368751	53.4592560464294	2.4630319541236e-12	1.50489033449246e-10	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K02824	998.087067291901	0.848268058449195	0.233667673929824	52.7742048748928	3.46918146985194e-12	2.10071327933356e-10	pyrP, uraA; uracil permease
K09791	12341.158655196	-0.0320261129665952	0.025246106689227	51.7770055371417	5.71170939408698e-12	3.42803655846884e-10	K09791; uncharacterized protein
K01174	983.970320714212	1.14391013194631	0.251605892564961	51.7567814315458	5.7697595093095e-12	3.43250078878395e-10	nuc; micrococcal nuclease [EC:3.1.31.1]
K08964	2492.28746709735	0.457285799463979	0.111552745770117	51.4782396319457	6.63196605832459e-12	3.91112989630934e-10	mtnB; methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
K00801	795.065652878194	1.5910226249515	0.251578671540635	50.7449677929781	9.5690814578215e-12	5.59461296956426e-10	FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
K07315	5697.20897179523	0.423530036824772	0.0975862740052103	50.6702898482146	9.93313553261743e-12	5.75782266514627e-10	rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K00138	10488.2444339289	-0.0570522569033338	0.0340980515248126	50.5977163779446	1.03001960285884e-11	5.88061324852722e-10	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K08282	8366.86518126215	-0.0774068637853275	0.0638105116037558	50.59418741815	1.03183865611138e-11	5.88061324852722e-10	E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]
K03311	567.85808101905	-0.760381688895278	0.353595682748069	50.3187108694817	1.18421556887227e-11	6.69279165674309e-10	TC.LIVCS; branched-chain amino acid:cation transporter, LIVCS family
K10536	2539.3212953124	0.5051530967165	0.121204849961045	49.805066424672	1.53097197365256e-11	8.58103464901789e-10	aguA; agmatine deiminase [EC:3.5.3.12]
K03563	2937.76523037916	0.168085334468546	0.122087738793481	49.2200119048072	2.05121042583853e-11	1.14027123836368e-09	csrA; carbon storage regulator
K01740	19170.5379617015	-0.0762382863183045	0.0326952130166798	48.635315301628	2.74773894624612e-11	1.51505410840985e-09	metY; O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K16509	379.087729899697	-1.03604590347734	0.392657102495426	48.3300880289954	3.20077192870984e-11	1.75061574358953e-09	spxA; regulatory protein spx
K02805	801.203927979266	1.339349844278	0.222461610609057	48.2552613393275	3.32279186675245e-11	1.80281395522521e-09	wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
K07496	5627.8678165553	0.733377428081216	0.132261798701869	48.17023600768	3.46709829913525e-11	1.86617941783613e-09	K07496; putative transposase
K09932	1922.28003639232	0.636725757762541	0.135640686235989	47.9395233286825	3.89103176855269e-11	2.07787224049798e-09	K09932; uncharacterized protein
K02191	530.862882649641	2.55758545494447	0.399719081331677	47.6947332550633	4.39764598963133e-11	2.33006524231873e-09	cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
K00841	204.262651391872	-1.03070529846149	0.413631776374594	47.3348267139583	5.26469211374772e-11	2.76669505119448e-09	patA; aminotransferase [EC:2.6.1.-]
K19449	360.292528064164	-0.970585844784997	0.398528266450951	47.3202104472534	5.30330811936423e-11	2.76669505119448e-09	sinR; XRE family transcriptional regulator, master regulator for biofilm formation
K00367	932.487032264044	1.40094409576199	0.262622351077944	47.0466559711052	6.080628348202e-11	3.14800163797755e-09	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
K18231	195.138576963325	-0.907529222469419	0.412682822262465	46.4933300394334	8.01865741473198e-11	4.11988898384184e-09	msrA, vmlR; macrolide transport system ATP-binding/permease protein
K06419	193.851089014398	-1.04583214913369	0.419599617564963	46.2705978845419	8.96328761194262e-11	4.57060275069134e-09	SASP-B, sspB; small acid-soluble spore protein B (major beta-type SASP)
K00101	11089.9930549391	-0.134549019587936	0.043642307144194	45.9940522092456	1.0292442811424e-10	5.20920501097596e-09	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00126	2770.36309360712	-0.468572932209625	0.0903699808116963	45.9483078009344	1.05305664905021e-10	5.25777894370141e-09	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00758	10852.764178835	-0.0487909543942123	0.0362855431190661	45.9458591807397	1.05434670649276e-10	5.25777894370141e-09	deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]
K15518	208.942075453556	-0.955143321729727	0.436163701223673	45.8962866471502	1.08080659149671e-10	5.3503870828691e-09	dgk; deoxyguanosine kinase [EC:2.7.1.113]
K06301	189.87547615298	-0.99479402000178	0.409663471238225	45.7533989445164	1.16084879536317e-10	5.70498299286451e-09	gerPC; spore germination protein PC
K06327	202.614001028798	-0.996477974193382	0.429600618053536	45.4912622104395	1.32342070094997e-10	6.45715049916738e-09	cotD; spore coat protein D
K00255	1173.88024764865	-0.596619875161724	0.12385229912842	45.4635609829595	1.34187842018854e-10	6.50044246122763e-09	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K08481	1040.0827701449	1.36274332180525	0.224218312193579	45.2354349796699	1.50400784274553e-10	7.23417105638313e-09	kaiB; circadian clock protein KaiB
K06304	194.074653681688	-1.14563166112256	0.401533816309404	45.152319259646	1.56782812242163e-10	7.48803544103062e-09	gerPF; spore germination protein PF
K07697	451.578381457692	-1.00772539683529	0.376047670907178	44.9550979741036	1.73031235266998e-10	8.206278584481e-09	kinB; two-component system, sporulation sensor kinase B [EC:2.7.13.3]
K06302	187.827679005361	-1.04345612198422	0.41004635294149	44.8938560497689	1.78411573343618e-10	8.40268951678069e-09	gerPD; spore germination protein PD
K06299	191.54612501947	-1.04849557351211	0.410495957158832	44.7022183504475	1.96352583920319e-10	9.18388430446624e-09	gerPA; spore germination protein PA
