Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:6.1.1.22	3593.94286054142	0.331311017734158	0.0702746011877357	81.8613874078334	1.67504154838627e-18	3.56113833186921e-15	Asparagine--tRNA ligase
EC:4.1.3.34	18932.9128354361	-0.0853776362637657	0.0259746155350404	71.9527641158024	2.37495723261279e-16	2.5245795382674e-13	Citryl-CoA lyase
EC:1.12.98.1	595.502998877444	2.42799391018453	0.315464580180782	70.0987498830761	6.00136261753556e-16	4.25296564162687e-13	Coenzyme F420 hydrogenase
EC:1.10.9.1	648.347604030828	2.11623592550508	0.29579439915516	65.5703483159754	5.77536949929521e-15	3.06960888887541e-12	Plastoquinol--plastocyanin reductase
EC:2.5.1.77	1033.14476907306	2.81907132269011	0.371184658799634	64.4647771824635	1.00380995016281e-14	4.26819990809229e-12	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
EC:1.1.1.30	12877.2739335832	-0.118011986403001	0.026074770585348	62.0470423867642	3.36245078548731e-14	9.55106049411608e-12	3-hydroxybutyrate dehydrogenase
EC:1.2.1.59	516.814726720417	2.82275847269321	0.384969726827193	60.3361853195542	7.90976950880563e-14	9.55106049411608e-12	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
EC:1.2.1.80	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	Long-chain acyl-[acyl-carrier-protein] reductase
EC:1.3.1.24	515.910716063945	2.82042107546699	0.384823275554364	60.2919894442051	8.08650465165049e-14	9.55106049411608e-12	Biliverdin reductase
EC:1.3.1.78	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	Arogenate dehydrogenase (NADP(+))
EC:1.3.5.5	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	15-cis-phytoene desaturase
EC:1.3.7.5	516.22631857146	2.82042131286611	0.384861979863598	60.3183631022746	7.98056930806145e-14	9.55106049411608e-12	Phycocyanobilin:ferredoxin oxidoreductase
