	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.3723331391811371	0.4428362846374512	0.3786580562591553	0.4492273926734924	0.3864794969558716	0.421117901802063	0.4275038242340088	0.3924289643764496	0.4768688380718231	0.4000328779220581	0.420592874288559	0.3976838886737823	0.4423538744449615	0.3918496072292328	0.4455238282680511	0.4181894958019257	0.3456270098686218
KO2	0.3723331391811371	0	0.438418984413147	0.4118833541870117	0.4157779812812805	0.423381119966507	0.4040480852127075	0.4260843694210052	0.36545529961586	0.5338101983070374	0.4184527993202209	0.4541943669319153	0.3470575511455536	0.447783887386322	0.4116164147853851	0.4519003331661224	0.4173056781291962	0.3457423150539398
KO3	0.4428362846374512	0.438418984413147	0	0.4271859526634216	0.4359740316867828	0.4247313737869263	0.5088198184967041	0.4376321136951447	0.4516752660274506	0.5387698411941528	0.4323754012584686	0.483238160610199	0.4392656981945038	0.4708270132541656	0.4752604365348816	0.4817557036876678	0.4495625793933868	0.456121951341629
KO4	0.3786580562591553	0.4118833541870117	0.4271859526634216	0	0.4323379993438721	0.3801191747188568	0.4610715806484222	0.4506004154682159	0.4122744202613831	0.5099214315414429	0.3820194005966187	0.4538431465625763	0.4109159708023071	0.4380619525909424	0.4650906026363373	0.4751526117324829	0.3982790410518646	0.3778244853019714
KO5	0.4492273926734924	0.4157779812812805	0.4359740316867828	0.4323379993438721	0	0.4100788533687592	0.4898284673690796	0.4676047563552856	0.4597150683403015	0.5433717370033264	0.4560762047767639	0.5022756457328796	0.4293553233146667	0.4597533643245697	0.4778915047645569	0.477263480424881	0.4400403797626495	0.4516358375549316
KO6	0.3864794969558716	0.423381119966507	0.4247313737869263	0.3801191747188568	0.4100788533687592	0	0.4212318956851959	0.4128803908824921	0.3987122476100922	0.4980649650096893	0.3630998730659485	0.4191005229949951	0.373377650976181	0.4124354422092438	0.4498812854290009	0.4682314991950989	0.3977027237415314	0.402114063501358
OE1	0.421117901802063	0.4040480852127075	0.5088198184967041	0.4610715806484222	0.4898284673690796	0.4212318956851959	0	0.4132547676563263	0.4089427888393402	0.5272241830825806	0.3954605162143707	0.4453344345092773	0.3970594704151154	0.4728453159332275	0.3919812142848969	0.4540015757083893	0.4415281414985657	0.3799823522567749
OE2	0.4275038242340088	0.4260843694210052	0.4376321136951447	0.4506004154682159	0.4676047563552856	0.4128803908824921	0.4132547676563263	0	0.378468781709671	0.5293005704879761	0.4085953831672668	0.419350653886795	0.4000218510627747	0.4213376939296722	0.4442399144172668	0.4260970950126648	0.4273000657558441	0.4485166370868683
OE3	0.3924289643764496	0.36545529961586	0.4516752660274506	0.4122744202613831	0.4597150683403015	0.3987122476100922	0.4089427888393402	0.378468781709671	0	0.4927879571914673	0.3721891939640045	0.4128477871417999	0.362141877412796	0.3834720849990845	0.3792955875396729	0.3957896828651428	0.4004762470722198	0.3668535649776459
OE4	0.4768688380718231	0.5338101983070374	0.5387698411941528	0.5099214315414429	0.5433717370033264	0.4980649650096893	0.5272241830825806	0.5293005704879761	0.4927879571914673	0	0.5166911482810974	0.5325735211372375	0.5127164125442505	0.4953473806381226	0.5012562870979309	0.5391052961349487	0.4997165501117706	0.4791414141654968
OE5	0.4000328779220581	0.4184527993202209	0.4323754012584686	0.3820194005966187	0.4560762047767639	0.3630998730659485	0.3954605162143707	0.4085953831672668	0.3721891939640045	0.5166911482810974	0	0.4252690672874451	0.3703778088092804	0.4321270287036896	0.4253576993942261	0.4412611126899719	0.3625949025154114	0.3641311228275299
OE6	0.420592874288559	0.4541943669319153	0.483238160610199	0.4538431465625763	0.5022756457328796	0.4191005229949951	0.4453344345092773	0.419350653886795	0.4128477871417999	0.5325735211372375	0.4252690672874451	0	0.402440071105957	0.4516594707965851	0.4099850356578827	0.4552918374538422	0.4315392076969147	0.4472699463367462
WT1	0.3976838886737823	0.3470575511455536	0.4392656981945038	0.4109159708023071	0.4293553233146667	0.373377650976181	0.3970594704151154	0.4000218510627747	0.362141877412796	0.5127164125442505	0.3703778088092804	0.402440071105957	0	0.4076285660266876	0.3846825361251831	0.4274210631847382	0.3507040441036224	0.3945845663547516
WT2	0.4423538744449615	0.447783887386322	0.4708270132541656	0.4380619525909424	0.4597533643245697	0.4124354422092438	0.4728453159332275	0.4213376939296722	0.3834720849990845	0.4953473806381226	0.4321270287036896	0.4516594707965851	0.4076285660266876	0	0.4442870020866394	0.4559473097324371	0.417825847864151	0.425386369228363
WT3	0.3918496072292328	0.4116164147853851	0.4752604365348816	0.4650906026363373	0.4778915047645569	0.4498812854290009	0.3919812142848969	0.4442399144172668	0.3792955875396729	0.5012562870979309	0.4253576993942261	0.4099850356578827	0.3846825361251831	0.4442870020866394	0	0.4131697118282318	0.4080682694911957	0.3903473317623138
WT4	0.4455238282680511	0.4519003331661224	0.4817557036876678	0.4751526117324829	0.477263480424881	0.4682314991950989	0.4540015757083893	0.4260970950126648	0.3957896828651428	0.5391052961349487	0.4412611126899719	0.4552918374538422	0.4274210631847382	0.4559473097324371	0.4131697118282318	0	0.4256785213947296	0.4254801571369171
WT5	0.4181894958019257	0.4173056781291962	0.4495625793933868	0.3982790410518646	0.4400403797626495	0.3977027237415314	0.4415281414985657	0.4273000657558441	0.4004762470722198	0.4997165501117706	0.3625949025154114	0.4315392076969147	0.3507040441036224	0.417825847864151	0.4080682694911957	0.4256785213947296	0	0.4122775793075562
