	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.1601243615150452	0.1179920807480812	0.06037428602576256	0.1225772649049759	0.05481533706188202	0.1341104209423065	0.194370836019516	0.1673151552677155	0.1190437078475952	0.107459083199501	0.1169868186116219	0.1615167558193207	0.1055484116077423	0.122769683599472	0.1246704459190369	0.1247551813721657	0.1209670007228851
KO2	0.1601243615150452	0	0.1692782342433929	0.1496701687574387	0.26033815741539	0.1837880313396454	0.1360883414745331	0.1321851760149002	0.1362191736698151	0.1487700641155243	0.1187764108181	0.125687301158905	0.115802526473999	0.1670369654893875	0.1099812239408493	0.09817507863044739	0.1207044348120689	0.1180891916155815
KO3	0.1179920807480812	0.1692782342433929	0	0.09337242692708969	0.159515842795372	0.1208139955997467	0.1598400175571442	0.1479799896478653	0.1164189577102661	0.09897419065237045	0.1096601560711861	0.1430828720331192	0.1443010419607162	0.1018293052911758	0.1191108450293541	0.123629167675972	0.1100890710949898	0.09172437340021133
KO4	0.06037428602576256	0.1496701687574387	0.09337242692708969	0	0.1358821094036102	0.07513754814863205	0.1394042521715164	0.1794227361679077	0.1590464264154434	0.1163631975650787	0.09847811609506607	0.1219406127929688	0.1460303664207458	0.09802958369255066	0.1170860752463341	0.1152000427246094	0.1056437641382217	0.1110639423131943
KO5	0.1225772649049759	0.26033815741539	0.159515842795372	0.1358821094036102	0	0.111202135682106	0.2325538992881775	0.2582453787326813	0.229551836848259	0.1881863474845886	0.1916646063327789	0.2147583961486816	0.2239553481340408	0.1560658663511276	0.2041453272104263	0.2069524228572845	0.1896232813596725	0.1856743991374969
KO6	0.05481533706188202	0.1837880313396454	0.1208139955997467	0.07513754814863205	0.111202135682106	0	0.1620949655771255	0.2214374393224716	0.189801424741745	0.1473572105169296	0.1270671635866165	0.1448683440685272	0.1888525635004044	0.123291127383709	0.1534228175878525	0.1503283083438873	0.1436991989612579	0.1481624394655228
OE1	0.1341104209423065	0.1360883414745331	0.1598400175571442	0.1394042521715164	0.2325538992881775	0.1620949655771255	0	0.1239406764507294	0.1354832351207733	0.1074579581618309	0.08282443881034851	0.0502505712211132	0.1516541689634323	0.1454730331897736	0.09840860217809677	0.114830382168293	0.1231383383274078	0.1157885268330574
OE2	0.194370836019516	0.1321851760149002	0.1479799896478653	0.1794227361679077	0.2582453787326813	0.2214374393224716	0.1239406764507294	0	0.08934181183576584	0.1159870103001595	0.1232921481132507	0.1230229288339615	0.1174520254135132	0.1514667123556137	0.1051825433969498	0.1225714385509491	0.1228491440415382	0.1003535911440849
OE3	0.1673151552677155	0.1362191736698151	0.1164189577102661	0.1590464264154434	0.229551836848259	0.189801424741745	0.1354832351207733	0.08934181183576584	0	0.08845636248588562	0.106394462287426	0.1270427703857422	0.09469269216060638	0.1131483986973763	0.08697764575481415	0.09011590480804443	0.100953109562397	0.08382304757833481
OE4	0.1190437078475952	0.1487700641155243	0.09897419065237045	0.1163631975650787	0.1881863474845886	0.1473572105169296	0.1074579581618309	0.1159870103001595	0.08845636248588562	0	0.08639450371265411	0.09478840976953506	0.1120773479342461	0.09585314244031906	0.07567765563726425	0.09120315313339233	0.09371465444564819	0.06432528048753738
